Source text,Translation,Context,Path,name,new_wording,path,org_wording,output_path
flight mode power,動力模式,,,fm-pwr.wav,動力模式,cn\fm-pwr.wav,動力模式,zh-tw\fm-pwr.wav
flight mode land,降落模式,,,fm-lnd.wav,降落模式,cn\fm-lnd.wav,降落模式,zh-tw\fm-lnd.wav
flight mode float,懸停模式,,,fm-flt.wav,懸停模式,cn\fm-flt.wav,懸停模式,zh-tw\fm-flt.wav
flight mode speed,高速模式,,,fm-spd.wav,高速模式,cn\fm-spd.wav,高速模式,zh-tw\fm-spd.wav
flight mode fast,快速模式,,,fm-fst.wav,快速模式,cn\fm-fst.wav,快速模式,zh-tw\fm-fst.wav
flight mode normal,正常模式,,,fm-nrm.wav,正常模式,cn\fm-nrm.wav,正常模式,zh-tw\fm-nrm.wav
flight mode cruise,巡航模式,,,fm-crs.wav,巡航模式,cn\fm-crs.wav,巡航模式,zh-tw\fm-crs.wav
flight mode acro,手動模式,,,fm-acr.wav,手動模式,cn\fm-acr.wav,手動模式,zh-tw\fm-acr.wav
flight mode race,競速模式,,,fm-rce.wav,競速模式,cn\fm-rce.wav,競速模式,zh-tw\fm-rce.wav
flight mode launch,拋飛模式,,,fm-lch.wav,拋飛模式,cn\fm-lch.wav,拋飛模式,zh-tw\fm-lch.wav
flight mode ping,平飛模式,,,fm-png.wav,平飛模式,cn\fm-png.wav,平飛模式,zh-tw\fm-png.wav
flight mode thermal,熱氣流模式,,,fm-thm.wav,熱氣流模式,cn\fm-thm.wav,熱氣流模式,zh-tw\fm-thm.wav
flight mode thermal left,左側熱氣流模式,,,fm-thl.wav,左側熱氣流模式,cn\fm-thl.wav,左側熱氣流模式,zh-tw\fm-thl.wav
flight mode thermal right,右側熱氣流模式,,,fm-thr.wav,右側熱氣流模式,cn\fm-thr.wav,右側熱氣流模式,zh-tw\fm-thr.wav
flight mode stabilise,防抖模式,,,fm-stb.wav,防抖模式,cn\fm-stb.wav,防抖模式,zh-tw\fm-stb.wav
flight mode horizon,半自穩模式,,,fm-hor.wav,半自穩模式,cn\fm-hor.wav,半自穩模式,zh-tw\fm-hor.wav
flight mode angle,自穩模式,,,fm-ang.wav,自穩模式,cn\fm-ang.wav,自穩模式,zh-tw\fm-ang.wav
flight mode idle up 1,特技一擋,,,fm-id1.wav,特技一擋,cn\fm-id1.wav,特技一擋,zh-tw\fm-id1.wav
flight mode idle up 2,特技二擋,,,fm-id2.wav,特技二擋,cn\fm-id2.wav,特技二擋,zh-tw\fm-id2.wav
low rate,較低比率,,,ratlow.wav,較低比率,cn\ratlow.wav,較低比率,zh-tw\ratlow.wav
medium rate,中等比率,,,ratmed.wav,中等比率,cn\ratmed.wav,中等比率,zh-tw\ratmed.wav
high rate,較高比率,,,rathi.wav,較高比率,cn\rathi.wav,較高比率,zh-tw\rathi.wav
take off,起飛,,,takeof.wav,起飛,cn\takeof.wav,起飛,zh-tw\takeof.wav
sport,運動,,,sport.wav,運動,cn\sport.wav,運動,zh-tw\sport.wav
pattern,模式,,,pattrn.wav,模式,cn\pattrn.wav,模式,zh-tw\pattrn.wav
3D,3D,,,3d.wav,3D,cn\3d.wav,3D,zh-tw\3d.wav
landing,降落,,,landin.wav,降落,cn\landin.wav,降落,zh-tw\landin.wav
idle up 1,特技一擋,,,idleu1.wav,特技一擋,cn\idleu1.wav,特技一擋,zh-tw\idleu1.wav
idle up 2,特技二擋,,,idleu2.wav,特技二擋,cn\idleu2.wav,特技二擋,zh-tw\idleu2.wav
normal mode,正常模式,,,normod.wav,正常模式,cn\normod.wav,正常模式,zh-tw\normod.wav
bank 0,分組0,,,bank-0.wav,分組0,cn\bank-0.wav,分組0,zh-tw\bank-0.wav
bank 1,分組1,,,bank-1.wav,分組1,cn\bank-1.wav,分組1,zh-tw\bank-1.wav
bank 2,分組2,,,bank-2.wav,分組2,cn\bank-2.wav,分組2,zh-tw\bank-2.wav
bank 3,分組3,,,bank-3.wav,分組3,cn\bank-3.wav,分組3,zh-tw\bank-3.wav
heading lock,鎖定航向,,,headlo.wav,鎖定航向,cn\headlo.wav,鎖定航向,zh-tw\headlo.wav
rate mode,手動模式,,,ratmod.wav,手動模式,cn\ratmod.wav,手動模式,zh-tw\ratmod.wav
3D Mode,3D模式,,,3d-mod.wav,3D模式,cn\3d-mod.wav,3D模式,zh-tw\3d-mod.wav
Stabilise Mode,防抖模式,,,stabmo.wav,防抖模式,cn\stabmo.wav,防抖模式,zh-tw\stabmo.wav
on,開,,,on.wav,開,cn\on.wav,開,zh-tw\on.wav
off,關,,,off.wav,關,cn\off.wav,關,zh-tw\off.wav
buzzer active,啟動蜂鳴器,,,buzact.wav,啟動蜂鳴器,cn\buzact.wav,啟動蜂鳴器,zh-tw\buzact.wav
crash-flip active,反烏龜模式,,,crfact.wav,反烏龜模式,cn\crfact.wav,反烏龜模式,zh-tw\crfact.wav
pre-arm active,啟動預解鎖,,,preact.wav,預解鎖,cn\preact.wav,啟動預解鎖,zh-tw\preact.wav
stable mode,穩定模式,,,stbmod.wav,穩定模式,cn\stbmod.wav,穩定模式,zh-tw\stbmod.wav
brakes on,開啟刹車,,,brakon.wav,開啟刹車,cn\brakon.wav,開啟刹車,zh-tw\brakon.wav
brakes off,關閉刹車,,,brakof.wav,關閉刹車,cn\brakof.wav,關閉刹車,zh-tw\brakof.wav
butterfly on,開啟蝴蝶刹,,,btfon.wav,開啟蝴蝶刹,cn\btfon.wav,開啟蝴蝶刹,zh-tw\btfon.wav
butterfly off,關閉蝴蝶刹,,,btfoff.wav,關閉蝴蝶刹,cn\btfoff.wav,關閉蝴蝶刹,zh-tw\btfoff.wav
flaps one,襟翼1,,,flp1.wav,襟翼1,cn\flp1.wav,襟翼1,zh-tw\flp1.wav
